Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Category,Sub_Category,Product,Quantity,Unit_Price,Discount,Payment_Mode,Sales,Cost,Profit
ORD121555,2024-07-27,CUST14850,Yash Nair,Male,40.0,Ahmedabad,Gujarat,West,Home & Kitchen,Furniture,Office Chair,3,8999,0.05,UPI,25647.15,18300,7347.15
ORD101676,2024-02-19,CUST14631,Neha Singh,Male,48.0,Amravati,Maharashtra,West,Electronics,Mobiles,OnePlus Nord CE,2,24999,0.05,UPI,47498.1,35600,11898.1
ORD117201,2025-05-24,CUST14029,Rohan Jadhav,Male,29.0,,Maharashtra,West,Beauty,Skincare,Face Wash,2,399,0.0,Debit Card,798.0,360,438.0
ORD115865,2024-10-20,CUST15857,Raj Mehta,Male,38.0,Chennai,Tamil Nadu,South,Sports,Outdoor,Cricket Bat,5,2999,0.0,UPI,14995.0,8500,6495.0
ORD112432,2024-06-04,CUST12301,Aisha Chavan,Male,18.0,Chandigarh,Chandigarh,North,Electronics,Mobiles,OnePlus Nord CE,4,24999,0.15,Debit Card,84996.6,71200,13796.6
ORD104165,2025-06-12,CUST12184,Ananya Gawande,Male,33.0,Amravati,Maharashtra,West,Clothing,Women,Kurti,3,1499,0.15,upi,3822.45,2160,1662.45
ORD114558,2025-01-08,CUST12517,Neha Gawande,Female,49.0,Bhubaneswar,Odisha,East,Home & Kitchen,Kitchen,Air Fryer,2,6999,0.05,Debit Card,13298.1,9300,3998.1
ORD106596,2025-08-16,CUST10727,Aditya Gupta,Male,35.0,Bhubaneswar,Odisha,East,Grocery,Beverages,Coffee 500g,2,499,0.1,UPI,898.2,580,318.2
ORD103014,2024-01-26,CUST11616,Raj Gupta,Male,47.0,Nagpur,Maharashtra,West,Electronics,Audio,Boat Airdopes,5,1499,0.0,UPI,7495.0,4100,3395.0
ORD103508,2024-04-10,CUST13594,Priya Patil,Female,29.0,Patna,Bihar,East,Electronics,Laptops,HP 15s Laptop,-2,54999,0.0,UPI,164997.0,129000,35997.0
ORD106224,2024-11-09,CUST12637,Diya Jadhav,Male,25.0,Pune,Maharashtra,West,Grocery,Staples,Basmati Rice 5kg,1,699,0.25,Cash,524.25,520,4.25
ORD125370,2024-07-21,CUST11902,Meera Sharma,Female,34.0,Nashik,Maharashtra,West,Home & Kitchen,Kitchen,Mixer Grinder,3,3499,0.25,Credit Card,7872.75,6600,1272.75
ORD111127,2025-08-15,CUST16065,Raj Kumar,Male,20.0,Chennai,Tamil Nadu,South,Sports,Fitness,Dumbbell Set,5,2499,0.05,Cash,11870.25,7250,4620.25
ORD124208,2025-02-16,CUST15097,Aarav Reddy,Male,36.0,Delhi,Delhi,North,Home & Kitchen,Kitchen,Mixer Grinder,1,3499,0.0,UPI,3499.0,2200,1299.0
ORD129474,2025-06-14,CUST10457,Neha Pawar,Male,29.0,Bengaluru,Karnataka,South,Electronics,Accessories,Mechanical Keyboard,2,2499,0.25,Wallet,3748.5,2900,848.5
ORD108879,2025-05-13,CUST12270,Raj Mishra,Male,38.0,Hyderabad,Telangana,South,Grocery,Beverages,Green Tea,1,349,0.05,UPI,331.55,190,141.55
ORD124121,2024-03-05,CUST14685,Zoya Pawar,Female,36.0,Pune,Maharashtra,West,Home & Kitchen,Appliances,Ceiling Fan,1,2899,0.2,Cash,2319.2,1850,469.2
ORD124074,2024-11-03,CUST15292,Sneha Deshmukh,Male,42.0,Chandigarh,Chandigarh,North,Sports,Outdoor,Cricket Bat,1,2999,0.05,UPI,2849.05,1700,1149.05
ORD123359,2024-05-14,CUST11343,Rahul Jadhav,Male,42.0,Mumbai,Maharashtra,West,Sports,Outdoor,Football,2,999,0.15,Credit Card,1698.3,960,738.3
ORD123014,2024-10-09,CUST15341,Simran Kumar,Female,28.0,Mysuru,Karnataka,South,Electronics,Audio,JBL Bluetooth Speaker,1,3999,0.0,Debit Card,3999.0,2450,1549.0
ORD105953,2025-04-19,CUST13661,Diya Gupta,Male,36.0,Kochi,Kerala,South,Clothing,Women,Saree,1,2499,0.1,Debit Card,2249.1,1300,949.1
ORD125706,2025-03-21,CUST12356,Isha Nair,Male,32.0,Mumbai,Maharashtra,West,Clothing,Men,Jeans,1,1999,0.0,Debit Card,1999.0,1050,949.0
ORD106108,2025-07-30,CUST16404,Akash Kulkarni,Male,43.0,Nagpur,Maharashtra,West,Beauty,Skincare,Face Wash,1,399,0.0,Debit Card,399.0,180,219.0
ORD106870,2025-05-09,CUST14144,Aditya Joshi,Female,33.0,Delhi,Delhi,North,Electronics,Laptops,Lenovo IdeaPad Slim,2,58999,0.15,Credit Card,100298.3,91000,9298.3
ORD116534,2024-04-26,CUST10444,Aditya Verma,Male,32.0,Amravati,Maharashtra,West,Grocery,Beverages,Coffee 500g,5,499,0.1,UPI,2245.5,1450,795.5
ORD102213,2024-03-17,CUST11337,Raj Verma,Male,33.0,Delhi,Delhi,North,Sports,Fitness,Dumbbell Set,3,2499,0.05,Cash,7122.15,4350,2772.15
ORD126702,2025-03-12,CUST13943,Meera Verma,Female,45.0,Delhi,Delhi,North,Electronics,Laptops,HP 15s Laptop,2,54999,0.05,UPI,104498.1,86000,18498.1
ORD111617,2025-02-01,CUST11345,Sneha Pawar,Male,22.0,Delhi,Delhi,North,Beauty,Skincare,Face Wash,1,399,0.1,UPI,359.1,180,179.1
ORD122709,2025-02-13,CUST11929,Neha Sharma,Female,18.0,Nagpur,Maharashtra,West,Sports,Fitness,Yoga Mat,3,899,0.0,Credit Card,2697.0,1260,1437.0
ORD126914,2025-03-11,CUST14303,Arjun Pawar,Male,35.0,Nashik,Maharashtra,West,Home & Kitchen,Furniture,Study Table,2,5999,0.05,Cash,11398.1,7800,3598.1
ORD110114,2025-04-25,CUST15564,Isha Verma,Male,23.0,Kochi,Kerala,South,Home & Kitchen,Kitchen,Electric Kettle,2,1499,0.0,Debit Card,2998.0,1700,1298.0
ORD117689,2024-08-02,CUST15286,Zoya Gawande,Male,24.0,Mysuru,Karnataka,South,Clothing,Women,Kurti,4,1499,0.05,UPI,5696.2,2880,2816.2
ORD101588,2024-04-01,CUST11594,Zoya Deshmukh,Female,21.0,Nashik,Maharashtra,West,Clothing,Women,Kurti,3,1499,0.15,Credit Card,3822.45,2160,1662.45
ORD110269,2024-02-25,CUST11442,Riya Sharma,Male,18.0,Pune,Maharashtra,West,Clothing,Men,Jeans,4,1999,0.05,Credit Card,7596.2,4200,3396.2
ORD112088,2024-08-20,CUST12046,Yash Sharma,Male,24.0,Hyderabad,Telangana,South,Home & Kitchen,Kitchen,Air Fryer,1,6999,0.1,UPI,6299.1,4650,1649.1
ORD106824,2025-01-03,CUST12405,Neha Das,Female,43.0,Surat,Gujarat,West,Grocery,Beverages,Green Tea,1,349,0.15,UPI,296.65,190,106.65
ORD120063,2025-08-26,CUST10678,Diya Jadhav,Male,41.0,Aurangabad,Maharashtra,West,Electronics,Accessories,Mechanical Keyboard,3,2499,0.05,Credit Card,7122.15,4350,2772.15
ORD105865,2024-08-15,CUST12591,Raj Nair,Male,,Mumbai,Maharashtra,West,Clothing,Footwear,Running Shoes,2,2999,0.1,UPI,5398.2,3300,2098.2
ORD120984,2025-04-25,CUST15226,Meera Deshmukh,Male,28.0,Bhubaneswar,Odisha,East,Beauty,Hair Care,Shampoo,2,499,0.0,Debit Card,998.0,480,518.0
ORD125430,2025-01-08,CUST11758,Isha Pawar,Female,51.0,Ahmedabad,Gujarat,West,Electronics,Mobiles,OnePlus Nord CE,1,24999,0.1,UPI,22499.1,17800,4699.1
ORD111769,2025-08-24,CUST15424,Aarav Sharma,Male,28.0,Mumbai,Maharashtra,West,Clothing,Women,Saree,4,2499,0.0,Debit Card,9996.0,5200,4796.0
ORD108979,2024-03-06,CUST12183,Rohan Das,Female,44.0,Chennai,Tamil Nadu,South,Grocery,Staples,Wheat Flour 5kg,1,299,0.1,Debit Card,269.1,220,49.1
ORD116629,2024-10-04,CUST10927,Pooja Verma,Female,32.0,Nagpur,Maharashtra,West,Electronics,Laptops,Lenovo IdeaPad Slim,5,58999,0.25,UPI,221246.25,227500,-6253.75
ORD104667,2025-11-11,CUST10289,Sahil Kulkarni,Male,35.0,Chandigarh,Chandigarh,North,Clothing,Women,Saree,2,2499,0.05,Wallet,4748.1,2600,2148.1
ORD128339,2024-06-19,CUST10171,Sneha Singh,Female,27.0,Ahmedabad,Gujarat,West,Home & Kitchen,Furniture,Office Chair,4,8999,0.0,UPI,35996.0,24400,11596.0
ORD103789,2024-01-21,CUST11786,Meera Das,Female,37.0,Aurangabad,Maharashtra,West,Electronics,Laptops,HP 15s Laptop,1,54999,0.25,UPI,41249.25,43000,-1750.75
ORD128412,2025-08-07,CUST15698,Rohan Chavan,Female,28.0,Pune,Maharashtra,West,Home & Kitchen,Furniture,Study Table,1,5999,0.0,UPI,5999.0,3900,2099.0
ORD127157,2025-04-10,CUST10872,Pooja Sharma,Male,30.0,Jaipur,Rajasthan,North,Electronics,Mobiles,OnePlus Nord CE,1,24999,0.0,Cash,24999.0,17800,7199.0
ORD120736,2024-10-02,CUST13912,Aarav Jadhav,Female,33.0,Surat,Gujarat,West, ELECTRONICS ,Appliances,Ceiling Fan,5,2899,0.15,Net Banking,12320.75,9250,3070.75
ORD100217,2025-10-07,CUST13060,Rahul Singh,Male,38.0,Patna,Bihar,East,Electronics,Laptops,Lenovo IdeaPad Slim,1,58999,0.05,Debit Card,56049.05,45500,10549.05
ORD107747,2024-06-14,CUST11418,Neha Kulkarni,Female,31.0,Surat,Gujarat,West,Electronics,Audio,JBL Bluetooth Speaker,1,3999,0.1,Debit Card,3599.1,2450,1149.1
ORD103256,2025-08-31,CUST14865,Simran Reddy,Male,19.0,Ahmedabad,Gujarat,West,Electronics,Audio,Boat Airdopes,3,1499,0.0,Debit Card,4497.0,2460,2037.0
ORD115400,2025-11-02,CUST12330,Nikhil Jadhav,Female,21.0,Kochi,Kerala,South,Clothing,Women,Saree,2,2499,0.05,Cash,4748.1,2600,2148.1
ORD116022,2025-06-12,CUST15277,Sahil Mehta,Female,33.0,Jaipur,Rajasthan,North,Electronics,Mobiles,Samsung Galaxy A15,1,17999,0.0,UPI,17999.0,12500,5499.0
ORD127380,2025-10-14,CUST13010,Zoya Nair,Male,23.0,Nagpur,Maharashtra,West,Electronics,Laptops,Lenovo IdeaPad Slim,1,58999,0.15,Debit Card,50149.15,45500,4649.15
ORD118009,2024-07-09,CUST12273,Pooja Nair,Male,30.0,Chandigarh,Chandigarh,North,Electronics,Accessories,USB-C Hub,4,1899,0.05,Credit Card,7216.2,4200,3016.2
ORD108351,2024-07-14,CUST13202,Karan Chavan,Female,29.0,Kolkata,West Bengal,East,Clothing,Footwear,Running Shoes,1,2999,0.05,UPI,2849.05,1650,1199.05
ORD103798,2024-03-20,CUST14092,Yash Nair,Male,49.0,Hyderabad,Telangana,South,Grocery,Staples,Basmati Rice 5kg,1,699,0.0,UPI,699.0,520,179.0
ORD116416,2024-05-04,CUST10592,Vikram Deshmukh,Female,43.0,Patna,Bihar,East,Home & Kitchen,Appliances,Ceiling Fan,1,2899,0.0,Net Banking,2899.0,1850,1049.0
ORD127955,2025-09-15,CUST11922,Riya Kumar,Female,20.0,Hyderabad,Telangana,South,Beauty,Skincare,Face Wash,5,399,0.05,Credit Card,1895.25,900,995.25
ORD102647,2025-06-06,CUST16259,Varun Jadhav,Male,43.0,Kolkata,West Bengal,East,Electronics,Audio,JBL Bluetooth Speaker,1,3999,0.05,Debit Card,3799.05,2450,1349.05
ORD107889,2024-02-13,CUST13539,Meera Verma,Male,36.0,Kolkata,West Bengal,East,Clothing,Women,Saree,1,2499,0.05,UPI,2374.05,1300,1074.05
ORD112590,2024-07-02,CUST12847,Simran Gupta,Male,26.0,Lucknow,Uttar Pradesh,North,Home & Kitchen,Kitchen,Mixer Grinder,1,3499,0.2,Credit Card,2799.2,2200,599.2
ORD113955,2025-02-12,CUST10705,Aarav Singh,Female,26.0,Jaipur,Rajasthan,North,Beauty,Skincare,Face Wash,2,399,0.15,Credit Card,678.3,360,318.3
ORD112729,2024-06-23,CUST11440,Simran Pawar,Male,21.0,Nashik,Maharashtra,West,Clothing,Footwear,Casual Sneakers,1,2199,0.15,Wallet,1869.15,1200,669.15
ORD128802,2025-03-05,CUST13376,Yash Deshmukh,Male,26.0,Bhubaneswar,Odisha,East,Clothing,Men,Jeans,2,1999,0.05,UPI,3798.1,2100,1698.1
ORD122676,2025-09-06,CUST15399,Neha Reddy,Male,41.0,Pune,Maharashtra,West,Home & Kitchen,Appliances,LED TV 43 inch,3,32999,0.15,UPI,84147.45,76500,7647.45
ORD105685,2024-08-13,CUST15975,Arjun Pawar,Female,37.0,Kolkata,West Bengal,East,Sports,Outdoor,Football,1,999,0.25,Cash,749.25,480,269.25
ORD104602,2025-04-14,CUST10430,Tanvi Das,Male,29.0,Bhubaneswar,Odisha,East,Grocery,Beverages,Coffee 500g,2,499,0.1,UPI,898.2,580,318.2
ORD120387,2025-05-10,CUST11057,Sahil Chavan,Female,18.0,Mysuru,Karnataka,South,Electronics,Accessories,Mechanical Keyboard,1,2499,0.1,Cash,2249.1,1450,799.1
ORD113211,2025-02-13,CUST10472,Sahil Jadhav,Female,30.0,Nashik,Maharashtra,West,Sports,Fitness,Yoga Mat,5,899,0.25,UPI,3371.25,2100,1271.25
ORD112655,2024-08-27,CUST11931,Riya Shah,Male,25.0,Bengaluru,Karnataka,South,Electronics,Accessories,Mechanical Keyboard,4,2499,0.15,Credit Card,8496.6,5800,2696.6
ORD113321,2024-08-31,CUST10606,Sneha Nair,Female,18.0,Ahmedabad,Gujarat,West,Electronics,Mobiles,Samsung Galaxy A15,2,17999,0.15,Credit Card,30598.3,25000,5598.3
ORD119361,2025-12-19,CUST13614,Aarav Mishra,Male,26.0,Bengaluru,Karnataka,South,Grocery,Beverages,Green Tea,1,349,0.0,UPI,349.0,190,159.0
ORD111038,2025-03-28,CUST12526,Pooja Verma,Female,18.0,Amravati,Maharashtra,West,Grocery,Beverages,Green Tea,1,349,0.0,UPI,349.0,190,159.0
ORD102034,2025-06-13,CUST12084,Pooja Verma,Male,35.0,Lucknow,Uttar Pradesh,North,Clothing,Men,Formal Shirt,1,1299,0.25,Cash,974.25,650,324.25
ORD111175,2024-07-05,CUST10271,Vikram Patil,Male,18.0,Patna,Bihar,East,Electronics,Accessories,Mechanical Keyboard,2,2499,0.15,Debit Card,4248.3,2900,1348.3
ORD119058,2024-10-07,CUST13918,Sahil Kulkarni,Male,33.0,Mysuru,Karnataka,South,Electronics,Laptops,HP 15s Laptop,2,54999,0.0,UPI,109998.0,86000,23998.0
ORD123063,2024-07-03,CUST12844,Zoya Gupta,Male,18.0,Jaipur,Rajasthan,North,Grocery,Snacks,Dry Fruits 500g,1,799,0.15,UPI,679.15,520,159.15
ORD118856,2024-09-02,CUST16243,Nikhil Sharma,Male,18.0,Mumbai,Maharashtra,West,Home & Kitchen,Appliances,LED TV 43 inch,1,32999,0.1,Net Banking,29699.1,25500,4199.1
ORD123479,2024-04-05,CUST11931,Riya Shah,Male,47.0,Bhubaneswar,Odisha,East,Electronics,Mobiles,Samsung Galaxy A15,1,17999,0.1,Wallet,16199.1,12500,3699.1
ORD112426,2024-01-21,CUST10022,Vikram Joshi,Male,36.0,Lucknow,Uttar Pradesh,North,Home & Kitchen,Appliances,Ceiling Fan,3,2899,0.0,Credit Card,8697.0,5550,3147.0
ORD108857,2024-07-16,CUST10680,Akash Joshi,Female,22.0,Bhubaneswar,Odisha,East,Grocery,Staples,Wheat Flour 5kg,1,299,0.15,UPI,254.15,220,34.15
ORD126468,2025-06-23,CUST13854,Raj Joshi,Male,31.0,Delhi,Delhi,North,Beauty,Skincare,Face Wash,3,399,0.0,UPI,1197.0,540,657.0
ORD104903,2025-07-21,CUST10754,Sahil Jadhav,Female,27.0,Aurangabad,Maharashtra,West,Clothing,Men,Jeans,5,1999,0.15,Debit Card,8495.75,5250,3245.75
ORD113282,2025-07-08,CUST15167,Rahul Joshi,Female,23.0,Nashik,Maharashtra,West,Sports,Outdoor,Cricket Bat,1,2999,0.2,UPI,2399.2,1700,699.2
ORD110877,2025-09-24,CUST13718,Nikhil Das,Female,45.0,Patna,Bihar,East,Home & Kitchen,Furniture,Study Table,4,5999,0.0,Cash,23996.0,15600,8396.0
ORD113677,2025-03-17,CUST10062,Tanvi Jadhav,Male,29.0,Mysuru,Karnataka,South,Beauty,Hair Care,Shampoo,4,499,0.15,UPI,1696.6,960,736.6
ORD117817,2024-06-14,CUST14556,Ananya Iyer,Male,18.0,Surat,Gujarat,West,Home & Kitchen,Furniture,Study Table,2,5999,0.0,Debit Card,11998.0,7800,4198.0
ORD102533,2025-04-07,CUST15310,Varun Singh,Female,38.0,Surat,Gujarat,West,Beauty,Hair Care,Hair Dryer,1,1899,0.0,UPI,1899.0,1050,849.0
ORD127432,2024-01-28,CUST14825,Aisha Deshmukh,Male,35.0,Mysuru,Karnataka,South,Sports,Outdoor,Cricket Bat,3,2999,0.05,UPI,8547.15,5100,3447.15
ORD102867,2024-08-15,CUST13441,Karan Singh,Female,24.0,Pune,Maharashtra,West,Electronics,Accessories,Mechanical Keyboard,1,2499,0.1,Credit Card,2249.1,1450,799.1
ORD112074,2024-05-07,CUST10645,Akash Shah,Female,18.0,Kochi,Kerala,South,Electronics,Accessories,Wireless Mouse,1,799,0.0,Debit Card,799.0,420,379.0
ORD127679,2024-07-31,CUST10696,Karan Kulkarni,Male,28.0,Pune,Maharashtra,West,Electronics,Laptops,HP 15s Laptop,2,54999,0.05,Credit Card,104498.1,86000,18498.1
ORD119150,2024-07-21,CUST11649,Arjun Chavan,Male,26.0,Delhi,Delhi,North,Grocery,Snacks,Dry Fruits 500g,2,799,0.05,UPI,1518.1,1040,478.1
ORD129133,2024-11-29,CUST13175,Priya Reddy,Female,24.0,Nagpur,Maharashtra,West,Electronics,Mobiles,Samsung Galaxy A15,2,17999,0.1,UPI,32398.2,25000,7398.2
ORD129363,2024-12-31,CUST15911,Yash Pawar,Male,33.0,Kolkata,West Bengal,East,Electronics,Mobiles,Samsung Galaxy A15,1,17999,0.25,Debit Card,13499.25,12500,999.25
ORD118859,2024-12-20,CUST14818,Yash Kulkarni,Male,36.0,Mysuru,Karnataka,South,Electronics,Accessories,Mechanical Keyboard,1,2499,0.05,Credit Card,2374.05,1450,924.05
ORD117714,2024-05-23,CUST14115,Kavya Nair,Male,21.0,Nagpur,Maharashtra,West,Clothing,Men,Jeans,5,1999,0.2,Debit Card,7996.0,5250,2746.0
ORD120897,2024-10-31,CUST14169,Nikhil Kulkarni,Male,32.0,Aurangabad,Maharashtra,West,Electronics,Audio,Boat Airdopes,2,1499,0.2,UPI,2398.4,1640,758.4
ORD105477,2025-01-20,CUST14368,Zoya Mehta,Female,32.0,Nagpur,Maharashtra,West,Sports,Fitness,Dumbbell Set,1,2499,0.0,UPI,2499.0,1450,1049.0
ORD109849,2025-06-19,CUST13123,Meera Kumar,Male,31.0,Bengaluru,Karnataka,South,Electronics,Laptops,HP 15s Laptop,1,54999,0.05,Credit Card,52249.05,43000,9249.05
ORD113583,2024-10-27,CUST10094,Ananya Joshi,Female,21.0,Mysuru,Karnataka,South,Clothing,Women,Kurti,1,1499,0.2,UPI,1199.2,720,479.2
ORD119027,2025-01-22,CUST11184,Kavya Verma,Female,24.0,Nashik,Maharashtra,West,Electronics,Audio,Boat Airdopes,1,1499,0.5,UPI,1349.1,820,529.1
ORD113909,2025-03-19,CUST10847,Tanvi Joshi,Male,27.0,Pune,Maharashtra,West,Electronics,Audio,Boat Airdopes,1,1499,0.15,Credit Card,1274.15,820,454.15
ORD101090,2024-05-01,CUST12798,Raj Joshi,Male,29.0,Patna,Bihar,East,Grocery,Snacks,Dry Fruits 500g,5,799,0.05,Credit Card,3795.25,2600,1195.25
ORD114314,2024-05-23,CUST10664,Vikram Patil,Female,28.0,Bengaluru,Karnataka,South,Home & Kitchen,Kitchen,Air Fryer,3,6999,0.05,Credit Card,19947.15,13950,5997.15
ORD103053,2025-08-22,CUST11328,Raj Mehta,Male,35.0,Bhubaneswar,Odisha,East,Home & Kitchen,Furniture,Office Chair,3,8999,0.0,Debit Card,26997.0,18300,8697.0
ORD117882,2025-10-17,CUST11215,Zoya Singh,Male,59.0,Jaipur,Rajasthan,North,Grocery,Beverages,Coffee 500g,2,499,0.05,UPI,948.1,580,368.1
ORD118704,2024-07-07,CUST10023,Aditya Pawar,Male,25.0,Kochi,Kerala,South,Electronics,Accessories,USB-C Hub,4,1899,0.1,Net Banking,6836.4,4200,2636.4
ORD128740,2025-01-03,CUST13048,Karan Shah,Female,18.0,Pune,Maharashtra,West,Clothing,Footwear,Casual Sneakers,1,2199,0.2,Net Banking,1759.2,1200,559.2
ORD111623,2024-12-03,CUST10099,Kavya Gawande,Male,36.0,Lucknow,Uttar Pradesh,North,Clothing,Men,Jeans,1,1999,0.25,Cash,1499.25,1050,449.25
ORD105216,2024-03-08,CUST16212,Priya Iyer,Male,29.0,Kolkata,West Bengal,East,Home & Kitchen,Kitchen,Electric Kettle,3,1499,0.2,Debit Card,3597.6,2550,1047.6
ORD100733,2025-10-26,CUST15460,Amit Patil,Female,42.0,Amravati,Maharashtra,West,Clothing,Women,Kurti,3,1499,0.1,Net Banking,4047.3,2160,1887.3
ORD110957,2024-07-06,CUST13132,Diya Chavan,Male,31.0,Nagpur,Maharashtra,West,Electronics,Audio,JBL Bluetooth Speaker,2,3999,0.0,UPI,7998.0,4900,3098.0
